"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1996-01-08","Demokratyczna Republika Konga","Air Africa","?","Antonow An-32","RA-26222",237,0,"osobny artykul"
"2","1996-02-06","Dominikana","Birgenair","301","Boeing 757","TC-GEN",189,0,"osobny artykul"
"3","1996-02-29","Peru","Faucett","251","Boeing 737-200","OB-145",123,0,"osobny artykul"
"4","1996-05-11","Stany Zjednoczone","ValuJet","592","McDonnell Douglas DC-9","N904VJ",110,0,"osobny artykul"
"5","1996-06-09","Stany Zjednoczone","Eastwind Airlines","517","Boeing 737-200","N221US",0,53,"osobny artykul"
"6","1996-06-13","Japonia","Garuda Indonesia","865","McDonnell Douglas DC-10","PK-GIE",3,272,"osobny artykul"
"7","1996-07-06","Stany Zjednoczone","Delta Air Lines","1288","McDonnell Douglas MD-88","N927DA",2,135,"osobny artykul"
"8","1996-07-17","Stany Zjednoczone","TWA","800","Boeing 747-100","N93119",230,0,"osobny artykul"
"9","1996-08-19","Serbia","Spair Airlines","3601","Il-76","RA-76513",12,0,""
"10","1996-08-29","Norwegia","Vnukovo Airlines","2801","Tu-154","RA-85621",141,0,"osobny artykul"
"11","3 wrzesnia","Bulgaria","Hemus Air","7081","Tu-154","?",0,158,""
"12","1996-10-02","Peru","Aeroperu","603","Boeing 757-200","N52AW",70,0,"osobny artykul"
"13","1996-10-31","Brazylia","TAM Airlines","402","Fokker 100","PT-MRK",99,0,"osobny artykul"
"14","1996-11-07","Nigeria","ADC Airlines","86","Boeing 727","5N-BGG",144,0,"osobny artykul"
"15","1996-11-12","Indie","Saudi Arabian Airlines","763","Boeing 747-100","HZ-AIH",312,0,"osobny artykul"
"16","1996-11-12","Indie","Air Kazakhstan","1907","Il-76","UN-76435",37,0,"osobny artykul"
"17","1996-11-19","Stany Zjednoczone","United Express","5925","Beechcraft 1900","N87GL",12,0,""
"18","1996-11-23","Komory","Ethiopian Airlines","961","Boeing 767-200","ET-AIZ",125,50,"osobny artykul"
"19","7 grudnia","Indonezja","Dirgantara Air Service","5940","CASA C-212","PK-VSO",18,1,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1997-01-09","Stany Zjednoczone","Comair",3272,"Embraer 120 Brasilia","N265CA",29,0,"osobny artykul"
"2","1997-03-18","Rosja","Stavropol Airlines",1023,"Antonow An-24","RA-46516",50,0,"osobny artykul"
"3","19 kwietni","Indonezja","Merpati Nusantara Airlines",106,"BAe ATP","PK-MTX",15,38,""
"4","1997-05-08","Chiny","China Southern Airlines",3456,"Boeing 737-300","B-2925",35,39,""
"5","17 lipca","Indonezja","Sempati Air",304,"Fokker F27","PK-YPM",28,22,""
"6","1997-07-31","Stany Zjednoczone","FedEx Express",14,"McDonnell Douglas MD-11","MD-11F",0,5,""
"7","1997-08-06","Guam","Korean Air",801,"Boeing 747-300","HL7468",228,26,"osobny artykul"
"8","7 sierpnia","Stany Zjednoczone","Fine Air",101,"Douglas DC-8","N27UA",5,0,"osobny artykul"
"9","10 sierpni","Tajwan","Formosa Airlines",7601,"Dornier Do 228","B-12556",16,0,""
"10","1997-09-03","Kambodza","Vietnam Airlines",815,"Tu-134","VN-A120",65,1,"osobny artykul"
"11","6 wrzesnia","Malezja","Royal Brunei Airlines",238,"Dornier Do 228","9M-MIA",10,0,""
"12","1997-09-26","Indonezja","Garuda Indonesia",152,"Airbus A300","PK-GAI",234,0,"osobny artykul"
"13","1997-10-10","Urugwaj","Austral Líneas Aéreas",2553,"McDonnell Douglas DC-9","LV-WEG",74,0,"osobny artykul"
"14","1997-12-15","Zjednoczone Emiraty Arabskie","Tajikistan Airlines",3183,"Tu-154","EY-85281",85,1,"osobny artykul"
"15","1997-12-16","Kanada","Air Canada",646,"Bombardier CRJ-100","C-FSKI",0,42,""
"16","1997-12-17","Grecja","Aerosvit",241,"Jak-42","UR-42334",70,0,"osobny artykul"
"17","1997-12-19","Indonezja","SilkAir",185,"Boeing 737-300","9V-TRF",104,0,"osobny artykul"
"18","28 grudnia","Ocean Spokojny","United Airlines",826,"Boeing 747-122","N4723U",1,392,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1998-02-02","Filipiny","Cebu Pacific","387","McDonnell Douglas DC-9","RP-C1507","104",0,"osobny artykul"
"2","1998-02-16","Tajwan","China Airlines","676","Airbus A300-600R","B-1814","202",0,"osobny artykul"
"3","1998-03-19","Afganistan","Ariana Afghan Airlines","?","Boeing 727","YA-FAZ","45",0,""
"4","1998-03-22","Filipiny","Philippine Airlines","137","Airbus A320-200","RP-C3222","3",127,""
"5","1998-04-20","Kolumbia","Air France","422","Boeing 727","HC-BSU","53",0,"osobny artykul"
"6","1998-05-26","Mongolia","MIAT Mongolian Airlines","?","Harbin Y-12","JU-1017","28",0,""
"7","18 czerwca","Kanada","Propair","420","Fairchild Swearingen Metro III","C-GQAL","11",0,""
"8","30 lipca","Francja","Proteus Airlines","706","Beechcraft 1900","F-GSJM","15",0,""
"9","1998-08-24","Mjanma","Myanma Airways","635","Fokker F-27 Friendship","XY-AEN","36",0,""
"10","1998-08-29","Ekwador","Cubana de Aviación","389","Tupolev Tu-154","CU-T1264","70+10",21,"osobny artykul"
"11","1998-09-02","Kanada","Swissair","111","McDonnell Douglas MD-11","HB-IWF","229",0,"osobny artykul"
"12","1998-09-25","Maroko","PauknAir","4101","BAe 146","EC-GEO","38",0,""
"13","1998-09-29","Sri Lanka","Lionair","602","Antonow An-24","EW-46465","55",0,"osobny artykul"
"14","1998-10-10","Demokratyczna Republika Konga","Lignes Aériennes Congolaises","?","Boeing 727","9Q-CSG","41",0,""
"15","1998-12-11","Tajlandia","Thai Airways International","261","Airbus A310","HS-TIA","101",45,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1999-02-23","Stany Zjednoczone","Metrojet","2710","Boeing 737-200","N282AU","0","117",""
"2","1999-02-24","Chiny","China Southwest Airlines","4509","Tu-154","B-2622","61","0","osobny artykul"
"3","1999-04-07","Turcja","Turkish Airlines","5904","Boeing 737-400","TC-JEP","6","0","osobny artykul"
"4","1999-06-01","Stany Zjednoczone","American Airlines","1420","McDonnell Douglas MD-82","N215AA","11","134","osobny artykul"
"5","1999-07-24","Japonia","All Nippon Airways","61","Boeing 747-400","JA8966","1","516",""
"6","24 lipca","Fidzi","Air Fiji","121","Embraer 110 Bandeirante","DQ-AFN","17","0","osobny artykul"
"7","7 sierpnia","Republika Zielonego Przyladka","TACV Cabo Verde Airlines","5002","Dornier Do 228","D4-CBC","18","0","osobny artykul"
"8","1999-08-22","Hongkong","China Airlines","642","McDonnell Douglas MD-11","B-150","3","312","osobny artykul"
"9","1999-08-31","Argentyna","LAPA","3142","Boeing 737-200","LV-WRZ","65","37","osobny artykul"
"10","5 wrzesnia","Nepal","Necon Air","128","Hawker Siddeley HS 748","9N-AEG","15","0",""
"11","1999-09-09","Stany Zjednoczone","TWA","600","McDonnel Douglas DC-9","?","?","?",""
"12","1999-09-14","Hiszpania","Britannia Airways","226A","Boeing 757-200","G-BYAG","1","245",""
"13","1999-09-14","Rumunia","Olympic Air","3838","Dassault Falcon 900B","SX-ECH","7","9","aviation-safety"
"14","1999-09-23","Tajlandia","Qantas","1","Boeing 747-400","VH-OJH","0","410",""
"15","1999-10-31","Stany Zjednoczone","EgyptAir","990","Boeing 767-300ER","SU-GAP","217","0","osobny artykul"
"16","1999-11-09","Meksyk","TAESA","725","McDonnell Douglas DC-9","?","18","0",""
"17","12 listopa","Kosowo","Si Fly","3275","ATR 42","F-OHFV","24","0",""
"18","1999-12-07","Filipiny","Asian Spirit","100","Let L-410 Turbolet","RP-C3880","15","0",""
"19","1999-12-21","Gwatemala","Cubana de Aviación","1216","McDonnell Douglas DC-10","F-GTDI","18","298",""
"20","1999-12-22","Wielka Brytania","Korean Air Cargo","8509","Boeing 747-200F","HL7451","4","0","osobny artykul"
"21","1999-12-24","Indie","Indian Airlines","814","Airbus A300","VT-EDW","1","192",""
"22","1999-12-25","Wenezuela","Cubana de Aviación","310","Jak-42D","CU-T1285","22","0","osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2000-01-10","Szwajcaria","Crossair","498","Saab 340","HB-AKK",10,"0",""
"2","2000-01-30","Wybrzeze Kosci Sloniowej","Kenya Airways","431","Airbus A310-300","5Y-BEN",169,"10","osobny artykul"
"3","2000-01-31","Stany Zjednoczone","Alaska Airlines","261","McDonnell Douglas MD-82","N963AS",88,"0","osobny artykul"
"4","16 lutego","Stany Zjednoczone","Emery Worldwide","17","McDonnell Douglas DC-8","N8079U",3,"0","osobny artykul"
"5","2000-03-05","Stany Zjednoczone","Southwest Airlines","1455","Boeing 737-300","N668SW",0,"142",""
"6","2000-04-19","Filipiny","Air Philippines","541","Boeing 737-200","RP-C3010",131,"0","osobny artykul"
"7","2000-05-02","Francja","Northern Executive Aviation","4B","Learjet 35A","G-MURI",2,"3",""
"8","25 maja","Filipiny","Philippine Airlines","812","Airbus A330-300","F-OHZN",1,"290",""
"9","31 maja","Australia","Whyalla Airlines","904","Piper PA-31 Navajo","VH-MZK",8,"0",""
"10","2000-07-04","Grecja","Malév","262","Tu-154","HA-LCR",0,"?",""
"11","8 lipca","Meksyk","Aerocaribe","7831","BAe Jetstream 32","N912FJ",19,"0",""
"12","2000-07-12","Austria","Hapag-Lloyd Airlines","3378","Airbus A310-300","D-AHLB",0,"150",""
"13","2000-07-17","Indie","Alliance Air","7412","Boeing 737-200","VT-EGD",60,"3","osobny artykul"
"14","2000-07-25","Francja","Air France","4590","Concorde","F-BTSC",113,"0","osobny artykul"
"15","2000-08-23","Bahrajn","Gulf Air","072","Airbus A320-200","A40-EK",143,"0","osobny artykul"
"16","2000-10-31","Tajwan","Singapore Airlines","006","Boeing 747-400","9V-SPK",83,"96","osobny artykul"
"17","18 listopa","Indonezja","Dirgantara Air Service","3130","Britten Norman Islander","PK-VIY",0,"18",""
"18","29 grudnia","Sudan","British Airways","2069","Boeing 747-400","G-BNLM",0,"398","osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2001-01-31","Japonia","Japan Airlines",907,"McDonnell Douglas DC-10","JA8546","0",250,"osobny artykul"
"2","2001-01-31","Japonia","Japan Airlines",958,"Boeing 747-400","JA8904","0",427,"osobny artykul"
"3","2001-07-04","Rosja","Vladivostok Avia",352,"Tu-154","RA-85845","145",0,"osobny artykul"
"4","2001-08-24","Portugalia","Air Transat",236,"Airbus A330-200","C-GITS","0",304,"osobny artykul"
"5","2001-08-29","Hiszpania","Binter Mediterráneo",8261,"CASA CN-235","EC-FBC","4",43,""
"6","2001-09-11","Stany Zjednoczone","American Airlines",11,"Boeing 767-200ER","N334AA","92*",0,"osobny artykul"
"7","2001-09-11","Stany Zjednoczone","United Airlines",175,"Boeing 767-200ER","N612UA","65*",0,"osobny artykul"
"8","2001-09-11","Stany Zjednoczone","American Airlines",77,"Boeing 757-200","N644AA","64*",0,"osobny artykul"
"9","2001-09-11","Stany Zjednoczone","United Airlines",93,"Boeing 757-200","N591UA","44*",0,"osobny artykul"
"10","2001-10-04","Ukraina","S7 Airlines",1812,"Tu-154M","RA-85693","78",0,"osobny artykul"
"11","2001-10-08","Wlochy","SAS",686,"McDonnell Douglas MD-87","SE-DMA","110",0,"osobny artykul"
"12","2001-11-12","Stany Zjednoczone","American Airlines",587,"Airbus A300-600","N14053","265",1,"osobny artykul"
"13","2001-11-24","Szwajcaria","Crossair",3597,"Avro RJ100","HB-IXM","24",9,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2002-01-14","Indonezja","Lion Air",386,"Boeing 737-200","PK-LID","0",103,""
"2","2002-01-16","Indonezja","Garuda Indonesia",421,"Boeing 737-300","PK-GWA","1",59,"osobny artykul"
"3","2002-01-28","Kolumbia","TAME",120,"Boeing 727-100","HC-BLF","94",0,"osobny artykul"
"4","2002-02-12","Iran","Iran Air Tours",956,"Tu-154","EP-MBS","119",0,"osobny artykul"
"5","2002-04-15","Korea Poludniowa","Air China",129,"Boeing 767-200ER","B-2552","129",37,"osobny artykul"
"6","2002-05-04","Nigeria","EAS Airlines",4226,"BAC One-Eleven","5N-ESF","149",6,"osobny artykul"
"7","2002-05-07","Tunezja","EgyptAir",843,"Boeing 737-500","SU-GBI","14",48,""
"8","2002-05-07","Chiny","China Northern Airlines",6136,"McDonnell Douglas MD-82","B-2138","112",0,"osobny artykul"
"9","2002-05-25","Tajwan","China Airlines",611,"Boeing 747-200","B-18255","225",0,"osobny artykul"
"10","2002-07-01","Niemcy","Bashkirian Airlines",2937,"Tu-154M","RA-85816","69 (71)",0,"osobny artykul"
"11","2002-07-01","Niemcy","DHL",611,"Boeing 757","OO-DLK","2 (71)",0,"osobny artykul"
"12","2002-07-28","Rosja","Pulkovo Airlines",NA,"Il-86","RA-86060","14",2,""
"13","2002-08-08","Brazylia","Rico Linhas Aéreas",4823,"Embraer 120 Brasilia","PT-WRQ","23",11,""
"14","2002-11-06","Luksemburg","Luxair",9642,"Fokker 50","LX-LGB","20",2,"osobny artykul"
"15","2002-11-23","Kenia","Arkia Israel Airlines",582,"Boeing 757-300","4X-BAW","0",271,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2003-01-08","Stany Zjednoczone","Air Midwest",5481,"Beechcraft 1900D","N233YV",21,0,"osobny artykul"
"2","2003-01-08","Turcja","Turkish Airlines",634,"Avro RJ100","TC-THG",75,5,"osobny artykul"
"3","2003-01-09","Peru","TANS Peru",222,"Fokker F28","OB-1396",46,0,""
"4","2003-03-06","Algieria","Air Algerie",6289,"Boeing 737-200","7T-VEZ",102,1,"osobny artykul"
"5","2003-05-26","Turcja","UM Air",4230,"Jak-42","UR-42352",75,0,"osobny artykul"
"6","2003-05-29","Australia","QantasLink",1737,"Boeing 717-200","?",0,53,""
"7","2003-07-08","Sudan","Sudan Airways",139,"Boeing 737-200","ST-AFK",117,0,"osobny artykul"
"8","2003-11-22","Irak","DHL",NA,"Airbus A300-200","OO-DLL",0,3,"osobny artykul"
"9","2003-12-18","Stany Zjednoczone","FedEx",647,"McDonnell Douglas DC-10","N364FE",0,7,""
"10","2003-12-25","Benin","UTA",141,"Boeing 727-200","3X-GDO",141,22,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2004-01-03","Egipt","Flash Airlines",604,"Boeing 737-300","SU-ZCF",148,0,"osobny artykul"
"2","2004-01-13","Uzbekistan","Uzbekistan Airways",1154,"Jak-40","UK-87985",37,0,"osobny artykul"
"3","2004-02-10","Zjednoczone Emiraty Arabskie","Kish Air",7170,"Fokker 27 Mk.050","EP-LCA",43,3,"osobny artykul"
"4","2004-02-14","Brazylia","Rico Linhas Aéreas",4815,"Embraer 120 Brasilia","PT-WRO",33,0,""
"5","2004-05-09","Portoryko","American Eagle Airlines",5401,"ATR 72","N438AT",0,26,""
"6","2004-08-13","Stany Zjednoczone","Air Tahoma",185,"Convair 580","N586P",1,1,""
"7","2004-08-24","Rosja","Volga-AviaExpress",1303,"Tu-134","RA-65080",46,0,""
"8","2004-08-24","Rosja","S7 Airlines",1047,"Tu-154","RA-85556",43,0,""
"9","2004-10-19","Stany Zjednoczone","Corporate Airlines",5966,"BAe Jetstream 31","N875JX",13,2,""
"10","2004-11-21","Chiny","China Eastern Airlines",5210,"Bombardier CRJ-200","B-3072",55,0,"osobny artykul"
"11","2004-11-28","Hiszpania","KLM",1673,"Boeing 737-400","PH-BTC",0,146,""
"12","2004-11-30","Indonezja","Lion Air",538,"McDonnell Douglas MD-82","PK-LMN",25,142,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2005-02-03","Afganistan","Kam Air",904,"Boeing 737-200","EX-037",104,0,"osobny artykul"
"2","2005-02-20","Stany Zjednoczone","British Airways",268,"Boeing 747-400","?",0,369,""
"3","2005-03-06","Kuba","Air Transat",961,"Airbus A310-300","C-GPAT",0,271,""
"4","2005-06-09","Stany Zjednoczone","US Airways",1170,"Boeing 737-300","N394US",0,109,""
"5","2005-06-09","Stany Zjednoczone","Aer Lingus",132,"Airbus A330-300","EI-ORD",0,272,""
"6","2005-08-02","Kanada","Air France",358,"A340-300","F-GLZQ",0,309,"osobny artykul"
"7","2005-08-06","Wlochy","Tuninter",1153,"ATR 72","TS-LBB",16,23,"osobny artykul"
"8","2005-08-14","Grecja","Helios Airways",522,"Boeing 737-300","5B-DBY",121,0,"osobny artykul"
"9","2005-08-16","Wenezuela","West Caribbean Airways",708,"McDonnell Douglas MD-82","HK-4374X",160,0,"osobny artykul"
"10","2005-08-23","Peru","TANS Peru",204,"Boeing 737-200","OB-1809-P",40,58,"osobny artykul"
"11","2005-09-05","Indonezja","Mandala Airlines",91,"Boeing 737-200","PK-RIM",143,16,"osobny artykul"
"12","2005-09-21","Stany Zjednoczone","JetBlue Airways",292,"Airbus A320-200","N536JB",0,146,""
"13","2005-10-22","Nigeria","Bellview Airlines",210,"Boeing 737-200","5N-BFN",117,0,"osobny artykul"
"14","2005-12-07","Stany Zjednoczone","American Airlines",924,"Boeing 757","?",0,116,""
"15","2005-12-08","Stany Zjednoczone","Southwest Airlines",1248,"Boeing 737-700","N471WN",1,103,""
"16","2005-12-10","Nigeria","Sosoliso Airlines",1145,"McDonnell Douglas DC-9","5N-BFD",108,2,"osobny artykul"
"17","2005-12-19","Stany Zjednoczone","Chalk's Ocean Airways",101,"Grumman G-73T","N2969",20,0,"osobny artykul"
"18","2005-12-23","Azerbejdzan","Azerbaijan Airlines",217,"Antonow An-140","4K-AZ48",23,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","31 marca","Brazylia","TEAM Linhas Aereas",6865,"Let L-410 Turbolet","PT-FSE",19,0,""
"2","2006-05-03","Rosja","Armavia",967,"Airbus A320-200","EK-32009",113,0,"osobny artykul"
"3","2006-07-09","Rosja","S7 Airlines",778,"Airbus A310-300","F-OGYP",125,79,"osobny artykul"
"4","2006-07-10","Pakistan","PIA",688,"Fokker F27","AP-BAL",45,0,"osobny artykul"
"5","28 lipca","Stany Zjednoczone","FedEx Express",630,"McDonnell Douglas DC-10","N391FE",0,3,""
"6","13 sierpni","Wlochy","Air Algerie",2208,"Lockheed C-130 Hercules","7T-VHG",3,0,""
"7","2006-08-22","Ukraina","Pulkovo Airlines",612,"Tu-154","RA-85185",170,0,"osobny artykul"
"8","2006-08-27","Stany Zjednoczone","Comair",5191,"Bombardier CRJ-100","N431CA",49,1,"osobny artykul"
"9","2006-09-01","Iran","Iran Air Tours",945,"Tu-154","EP-MCF",28,148,"osobny artykul"
"10","2006-09-29","Brazylia","Gol Transportes Aéreos",1907,"Boeing 737-800","PR-GTD",154,0,"osobny artykul"
"11","2006-10-03","Wlochy","Turkish Airlines",1476,"Boeing 737-400","TC-JEW",0,113,""
"12","2006-10-10","Norwegia","Atlantic Airways",670,"BAe 146","OY-CRG",4,12,"osobny artykul"
"13","28 pazdzie","Stany Zjednoczone","Continental Airlines",1883,"Boeing 757-200","N17105",0,154,""
"14","2006-10-29","Nigeria","ADC Airlines",53,"Boeing 737-200","5N-BFK",97,9,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2007-01-01","Indonezja","Adam Air","574","Boeing 737-400","PK-KKW",102,0,"osobny artykul"
"2","2007-01-09","Irak","AerianTur-M","","Antonow An-26","ER-26068",34,1,""
"3","2007-01-24","Czad","Air West","612","Boeing 737","?",0,103,""
"4","2007-02-15","Hiszpania","Air Mauritanie","?","Boeing 737","?",0,79,""
"5","2007-02-21","Indonezja","Adam Air","172","Boeing 737-300","PK-KKV",0,149,""
"6","2007-02-26","Wielka Brytania","United Airlines","955","Boeing 777-200","N786UA",0,205,""
"7","2007-03-07","Indonezja","Garuda Indonesia","200","Boeing 737-400","PK-GZC",21,118,"osobny artykul"
"8","2007-03-17","Rosja","UTair","471","Tu-134","RA-65021",6,51,""
"9","2007-03-23","Somalia","TransAVIAExport Airlines","?","Il-76","EW-78849",11,0,""
"10","2007-03-30","Sudan","Sudan Airways","?","Airbus A300-600","?",0,284,""
"11","2007-05-05","Kamerun","Kenya Airways","507","Boeing 737-800","5Y-KYA",114,0,"osobny artykul"
"12","2007-06-21","Demokratyczna Republika Konga","Free Airlines","?","Let-410 UVP","9Q-CEU",1,20,""
"13","2007-06-25","Kambodza","PMTair","241","An-24","XU-U4A",22,0,""
"14","2007-06-28","Angola","TAAG Angola Airlines","?","Boeing 737-200","D2-TBP",5,73,""
"15","2007-07-17","Brazylia","TAM Linhas Aéreas","3054","Airbus A320-200","PR-MBK",199,0,"osobny artykul"
"16","2007-08-09","Polinezja Francuska","Air Moorea","1121","DHC-6 Twin Otter","F-OIQI",20,0,"osobny artykul"
"17","2007-08-20","Japonia","China Airlines","120","Boeing 737-800","B-18616",0,165,""
"18","2007-09-09","Dania","SAS","1209","Dash 8-400","LN-RDK",0,73,""
"19","2007-09-12","Litwa","SAS","2748","Dash 8-400","LN-RDS",0,52,""
"20","2007-09-16","Tajlandia","One-Two-GO Airlines","269","McDonnell Douglas MD-82","HS-OMG",40,90,"osobny artykul"
"21","2007-10-04","Demokratyczna Republika Konga","Africa One","?","An-26","9Q-COS",51,30,"osobny artykul"
"22","2007-10-27","Dania","SAS","2867","Dash 8-400","LN-RDI",0,44,""
"23","2007-11-09","Ekwador","Iberia","6463","A340-600","EC-JOH",0,349,""
"24","2007-11-30","Turcja","Atlasjet","4203","McDonnell Douglas MD-83","TC-AKM",57,0,"osobny artykul"
"25","2007-12-30","Rumunia","TAROM","3107","Boeing 737-300","YR-BGC",0,123,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2008-01-04","Wenezuela","Transaven","","Let L-410 Turbolet","YV2081",14,0,""
"2","2008-01-17","Wielka Brytania","British Airways","38","Boeing 777-200ER","G-YMMM",0,152,"osobny artykul"
"3","2008-02-08","Nowa Zelandia","Eagle Airways","2279","BAe Jetstream 31","ZK-ECN",0,9,""
"4","2008-02-14","Armenia","Belavia","1834","Bombardier CRJ-100","EW-101PJ",0,21,""
"5","2008-02-21","Wenezuela","Santa Bárbara Airlines","518","ATR 42-300","YV1449",46,0,"osobny artykul"
"6","2008-03-10","Indonezja","Adam Air","292","Boeing 737-400","PK-KKT",0,177,""
"7","2008-04-03","Surinam","Blue Wing Airlines","","An-28","PZ-TSO",19,0,""
"8","2008-04-15","Demokratyczna Republika Konga","Hewa Bora Airways","122","McDonnell Douglas DC-9","9Q-CHN",40,83,""
"9","2008-05-25","Belgia","Kalitta Air","","Boeing 747-200F","N704CK",0,2,""
"10","2008-05-30","Honduras","TACA Airlines","390","Airbus A320-200","EI-TAF",5,121,""
"11","2008-06-10","Sudan","Sudan Airways","109","Airbus A310-300","ST-ATN",30,188,"osobny artykul"
"12","2008-07-25","Filipiny","Qantas","30","Boeing 747-400","VH-OJK",0,365,""
"13","2008-08-20","Hiszpania","Spanair","5022","McDonnell Douglas MD-82","EC-HFP",154,18,"osobny artykul"
"14","2008-08-24","Kirgistan","Itek Air","6895","Boeing 737-200","EX-009",25,65,"osobny artykul"
"15","2008-09-14","Rosja","Aeroflot","821","Boeing 737-500","VP-BKO",88,9,"osobny artykul"
"16","2008-10-07","Australia","Qantas","72","Airbus A330-300","VH-QPA",0,315,""
"17","2008-10-08","Nepal","Yeti Airlines","103","DHC-6 Twin Otter","9N-AFE",18,1,"osobny artykul"
"18","2008-11-27","Francja","XL Airways Germany","888T","Airbus A320-200","D-AXLA",7,0,""
"19","2008-12-20","Stany Zjednoczone","Continental Airlines","1404","Boeing 737-500","N18611",0,115,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2009-01-15","Stany Zjednoczone","US Airways",1549,"Airbus A320","N106US",0,155,"osobny artykul"
"2","2009-02-07","Brazylia","Manaus Aerotáxi",NA,"Embraer 110","PT-SEA",24,4,""
"3","2009-02-12","Stany Zjednoczone","Continental Airlines",3407,"Bombardier Dash 8 Q400","N200WQ",50,0,"osobny artykul"
"4","2009-02-25","Holandia","Turkish Airlines",1951,"Boeing 737-800","TC-JGE",9,126,"osobny artykul"
"5","2009-03-20","Australia","Emirates",407,"Airbus A340-500","A6-ERG",0,275,""
"6","2009-03-23","Japonia","FedEx",80,"McDonnell Douglas MD-11","N526FE",2,0,"osobny artykul"
"7","2009-06-01","Brazylia","Air France",447,"Airbus A330-200","F-GZCP",228,0,"osobny artykul"
"8","2009-06-30","Komory","Yemenia",626,"Airbus A310-300","7O-ADJ",152,1,"osobny artykul"
"9","2009-07-13","Stany Zjednoczone","Southwest Airlines",2294,"Boeing 737-300","N387SW",0,131,""
"10","2009-07-15","Iran","Caspian Airlines",7908,"Tu-154","EP-CPG",168,0,"osobny artykul"
"11","2009-07-24","Iran","Aria Air",1525,"Iluszyn Il-62","UP-I6208",16,137,"osobny artykul"
"12","2009-08-02","Indonezja","Merpati Nusantara Airlines",9760,"DHC-6 Twin Otter","PK-NVC",15,0,"osobny artykul"
"13","2009-08-04","Tajlandia","Bangkok Airways",266,"ATR-72-500","HS-PGL",1,71,""
"14","2009-08-11","Papua-Nowa Gwinea","Airlines PNG",4684,"DHC-6 Twin Otter","P2-MCB",13,0,""
"15","2009-09-04","Indie","Air India",829,"Boeing 747-400","VT-ESM",0,229,""
"16","2009-09-09","Meksyk","Aeroméxico",576,"Boeing 737-800","EI-DRA",0,112,""
"17","2009-10-21","Zjednoczone Emiraty Arabskie","Azza Transport",2241,"Boeing 707-330C","ST-AKW",6,0,""
"18","2009-10-21","Stany Zjednoczone","Northwest Airlines",188,"Airbus A320-212","N374NW",0,149,""
"19","2009-11-12","Rwanda","RwandAir",205,"Bombardier CRJ-100","5Y-JLD",1,14,""
"20","2009-12-22","Jamajka","American Airlines",331,"Boeing 737-800","N1786B",0,154,""
"21","2009-12-25","Stany Zjednoczone","Northwest Airlines",253,"Airbus A330-300","N820NW",0,290,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2010-01-24","Iran","Taban Air",6437,"Tu-154M","RA-85787",0,157,""
"2","2010-01-25","Liban","Ethiopian Airlines",409,"Boeing 737-800","ET-ANB",90,0,"osobny artykul"
"3","2010-02-11","Indonezja","Trigana Air Service",168,"ATR 42-300","PK-YRP",0,56,""
"4","2010-03-22","Rosja","Aviastar-TU",1906,"Tu-204","RA-64011",0,8,""
